section,type,number,question,options,diagrams,solution,answer
objective,mcq,1,The energy transformation that takes place in a solar cell is,"{'A': 'light to chemical', 'B': 'light to electrical', 'C': 'electrical to heat', 'D': 'electrical to light'}",,Light energy is converted into electrical energy.,B
objective,mcq,2,All flowering plants end their life cycle with,"{'A': 'seed formation', 'B': 'seed development', 'C': 'seed dispersal', 'D': 'seed germination'}",,"A flowering plant is simply a plant that produces flowers, and these flowers turn into fruits. Flowering plants go through several stages: Germination, Pollination, Fertilization, and Dispersal. The final stage in a flowering plant life cycle is seed dispersal .",
objective,mcq,3,Soil texture is a term used to describe the,"{'A': 'amount of water soil can hold', 'B': 'arrangement of soil particles in a given soil', 'C': 'properties of soil, silt and clay in a sample of soil', 'D': 'mixture of all soil particles'}",,"Soil texture (such as loam, sandy loam or clay) refers to the proportion of sand, silt and clay sized particles that make up the mineral fraction of the soil.",
objective,mcq,4,Which of the following processes is an example of a physical change?,"{'A': 'Fermentation of food', 'B': 'Respiration', 'C': 'Magnetization of iron', 'D': 'Lighting a match'}",,"Physical changes: The substance involved in a physical change is structurally identical before and after the change. Texture, shape, temperature, and a change in the state of matter are examples of physical changes. Magnetization of iron is a physical change as it is a temporary change.",
objective,mcq,5,An example of a storage pest is,"{'A': 'yam beetle', 'B': 'capsid', 'C': 'army worm', 'D': 'weevil'}",,"A storage pest is an insect or other animal that damages or destroys stored food or other stored valuable organic matter. Grain borers, weevils and Angoumois grain moths are able to feed on whole, healthy grains, they are considered storage pests",
objective,mcq,6,The solid component found on the filter paper and the liquid component that flows into a container during filtration are respectively called,"{'A': 'filtrate and residue', 'B': 'condensate and residue', 'C': 'residue and filtrate', 'D': 'residue and condensate'}",,"The solid that remains on the filter paper is called the residue , and the liquid that passes through the filter paper is called the filtrate",
objective,mcq,7,"A capacitor is connected in a series circuit with LED, a battery and a switch. When the circuit is closed, the LED","{'A': 'comes on and stays on', 'B': 'flashes and goes off', 'C': 'does not come on', 'D': 'flashes and stays on'}",,"The bulb will light up for an instant when the capacitor starts charging. Initially when key is closed, the capacitor acts as short-circuit, so bulb will light up. But finally the capacitor becomes fully charged, so it will act as open circuit, so bulb will not glow.",
objective,mcq,8,The ion that causes hardness in water is,"{'A': 'CO32- ', 'B': 'Mg2+', 'C': 'Na+', 'D': 'OH-'}",,Calcium (Ca2+) and magnesium (Mg2+) are the causes the hardness of water.,
objective,mcq,9,Which of the following substances are matter? I. Hydrogen II. Air III. Stone,"{'A': 'I and II only', 'B': 'I and III only', 'C': 'II and III only', 'D': 'I, II and III'}",,"Matter is Anything that can be weighed and takes up space. Therefore, the matter has both mass and volume. The cosmos is made up of a wide variety of substances and forms of stuff. Physical properties like color or mass. Chemical properties like how one form of matter interacts with another type of matter, are used by chemists to define matter. All the above has mass (weight) and can occupy space.",
objective,mcq,10,The main reason for staking tomato is to ensure,"{'A': 'bigger fruit development', 'B': 'air circulation on the farm', 'C': 'upright growth of the plant', 'D': 'that fruits do not get rotten'}",,"Staking tomatoes provides support to help keep plants off the ground while assisting in their upward growth habit. Because many diseases and insects start at the ground level, using a structured system to keep them away from ground contact is prudent. Staking can also be used to prevent the fruit from beginning to rot as it sits on the ground as the stalk grows overtime.",
objective,mcq,11,Which of the following statements about clayey soil is not true? It,"{'A': 'swells when dry and shrinks when wet', 'B': 'has high water retention', 'C': 'is difficult to plough when dry', 'D': 'is compact when dry'}",,Clayey soil rather swells when wet and shrinks when dry,
objective,mcq,12,It is not advisable to use old electrical gadgets because they,"{'A': 'are not efficient', 'B': 'are dangerous', 'C': 'produce sparks', 'D': 'waste energy'}",,Old devices use much more energy than new models,
objective,mcq,13,Which of the following planets are closer to the sun than the Earth?,"{'A': 'Venus and Mars', 'B': 'Venus and Mercury', 'C': 'Mercury and Mars', 'D': 'Venus and Saturn'}",https://kuulchat.com/qns/planets%20closer%20to%20the%20sun.jpg,"Venus and Mercury are more closer to the sun, Mars & Saturn are far away from the sun but more closer to the Earth",
objective,mcq,14,Which of the following statements about pressure in liquids is/are correct ? I. Pressure in liquids at the same level acts equally in all directions. II. Pressure in liquids depend on the area of the liquid. III. Pressure in liquids decreases with depth.,"{'A': 'I only', 'B': 'II only', 'C': 'I and III only', 'D': 'I, II and III'}",,Pascal's law states that pressure in liquids is transmitted equally in all directions. Pressure in liquids does not depend on the surface area. The pressure exerted by a liquid increases with depth.,
objective,mcq,15,Soil depletion is not caused by,"{'A': 'erosion', 'B': 'afforestation', 'C': 'leaching', 'D': 'illegal mining'}",,"Afforestation is the process of introducing trees and tree seedlings to an area that has previously not been forested. Afforestation can be done through tree planting and seeding, naturally or artificially.",
objective,mcq,16,What force makes a ripe mango fall from a tree?,"{'A': 'Force of tension', 'B': 'Magnetic force', 'C': 'Electrostatic force', 'D': 'Gravitational force'}",,Gravitational force The force due to which any matter is attracted towards the centre of the Earth is known as the force of gravity . The mango fell due to the force of gravity of Earth.,
objective,mcq,17,Urea is a good source of,"{'A': 'phosphorus in the soil', 'B': 'calcium in the soil', 'C': 'sodium in the soil', 'D': 'nitrogen in the soil'}",,Urea and fertilizers containing urea are excellent sources of nitrogen for crop production.,
objective,mcq,18,Which of the following statements are reasons for conserving energy? I. Insufficient production of energy II. Increasing demand of energy III. Limiting production of carbon (IV) oxide,"{'A': 'I and II only', 'B': 'I and III only', 'C': 'II and III only', 'D': 'I, II and III'}",,NOTE: One must still conserve energy even when demand of energy is not high. Conversation will ensure that the resources used for the generation of the energy is reserved for future generations,
objective,mcq,19,A force meter measures,"{'A': 'mass', 'B': 'temperature', 'C': 'weight', 'D': 'work'}",https://kuulchat.com/qns/force%20meter.jpg,Force meter measures force/weight of an object,
objective,mcq,20,Which of the following bodies are natural sources of light? I. Moon II. Sun III. Glow Worm,"{'A': 'I and II only', 'B': 'I and III only', 'C': 'II and III only', 'D': 'I, II and III'}",,"A natural source of light is light that occurs naturally without the involvement of humans. Natural sources of light can come from either an object or a living species. Examples include the Sun , stars, lightning, jellyfish, fireflies, glowworms , angler fish, etc. Note The moon is not a natural source of light in the sense that it doesn't produce its own light. The light we see from the moon is actually sunlight reflected off its surface. The moon is a non-luminous object, meaning it doesn't emit light, and only reflects the light it receives from other sources, primarily the sun.",
objective,mcq,21,Which of the following characteristics is/are of the image formed in a pinhole camera? The image is I. inverted. II. virtual. III. diminished.,"{'A': 'I only', 'B': 'II and III only', 'C': 'I and III only', 'D': 'I, II and III'}",https://kuulchat.com/qns/image%20of%20a%20pinhole%20camera.png,Characteristics of image formed in a pinhole camera (i) The image formed is real because it is visible on the screen (ii) It is inverted (iii) It is generally smaller/diminished than the size of the object,
